"date","company","stock_closing"
"2016-01-11","TSLA.Close",207.850006
"2016-01-12","TSLA.Close",209.970001
"2016-01-13","TSLA.Close",200.309998
"2016-01-14","TSLA.Close",206.179993
"2016-01-15","TSLA.Close",204.990005
"2016-01-19","TSLA.Close",204.720001
"2016-01-20","TSLA.Close",198.699997
"2016-01-21","TSLA.Close",199.970001
"2016-01-22","TSLA.Close",202.550003
"2016-01-25","TSLA.Close",196.380005
"2016-01-26","TSLA.Close",193.559998
"2016-01-27","TSLA.Close",188.070007
"2016-01-28","TSLA.Close",189.699997
"2016-01-29","TSLA.Close",191.199997
"2016-02-01","TSLA.Close",196.940002
"2016-02-02","TSLA.Close",182.779999
"2016-02-03","TSLA.Close",173.479996
"2016-02-04","TSLA.Close",175.330002
"2016-02-05","TSLA.Close",162.600006
"2016-02-08","TSLA.Close",147.990005
"2016-02-09","TSLA.Close",148.25
"2016-02-10","TSLA.Close",143.669998
"2016-02-11","TSLA.Close",150.470001
"2016-02-12","TSLA.Close",151.039993
"2016-02-16","TSLA.Close",155.169998
"2016-02-17","TSLA.Close",168.679993
"2016-02-18","TSLA.Close",166.770004
"2016-02-19","TSLA.Close",166.580002
"2016-02-22","TSLA.Close",177.740005
"2016-02-23","TSLA.Close",177.210007
"2016-02-24","TSLA.Close",179
"2016-02-25","TSLA.Close",187.429993
"2016-02-26","TSLA.Close",190.339996
"2016-02-29","TSLA.Close",191.929993
"2016-03-01","TSLA.Close",186.350006
"2016-03-02","TSLA.Close",188.339996
"2016-03-03","TSLA.Close",195.740005
"2016-03-04","TSLA.Close",201.039993
"2016-03-07","TSLA.Close",205.289993
"2016-03-08","TSLA.Close",202.600006
"2016-03-09","TSLA.Close",208.720001
"2016-03-10","TSLA.Close",205.179993
"2016-03-11","TSLA.Close",207.5
"2016-03-14","TSLA.Close",215.149994
"2016-03-15","TSLA.Close",218.339996
"2016-03-16","TSLA.Close",221.929993
"2016-03-17","TSLA.Close",226.380005
"2016-03-18","TSLA.Close",232.740005
"2016-03-21","TSLA.Close",238.320007
"2016-03-22","TSLA.Close",234.240005
"2016-03-23","TSLA.Close",222.580002
"2016-03-24","TSLA.Close",227.75
"2016-03-28","TSLA.Close",230.259995
"2016-03-29","TSLA.Close",230.130005
"2016-03-30","TSLA.Close",226.889999
"2016-03-31","TSLA.Close",229.770004
"2016-04-01","TSLA.Close",237.589996
"2016-04-04","TSLA.Close",246.990005
"2016-04-05","TSLA.Close",255.470001
"2016-04-06","TSLA.Close",265.420013
"2016-04-07","TSLA.Close",257.200012
"2016-04-08","TSLA.Close",250.070007
"2016-04-11","TSLA.Close",249.919998
"2016-04-12","TSLA.Close",247.820007
"2016-04-13","TSLA.Close",254.529999
"2016-04-14","TSLA.Close",251.860001
"2016-04-15","TSLA.Close",254.509995
"2016-04-18","TSLA.Close",253.880005
"2016-04-19","TSLA.Close",247.369995
"2016-04-20","TSLA.Close",249.970001
"2016-04-21","TSLA.Close",248.289993
